XML,portal,orientation,veracity,url
0059.xml,abc,mainstream,mostly true,https://web.archive.org/web/20160923063509/http://abcnews.go.com/Business/wireStory/wells-fargo-ceo-resigns-position-fed-advisory-body-42293445
0060.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/syrian-white-helmets-winners-alternative-nobel/story?id=42302011&amp;cid=abcnp_fb
0061.xml,abc,mainstream,mostly true,http://abcnews.go.com/Business/senators-slam-wells-fargo-arbitration-agreements-scathing-letter/story?id=42307532&amp;cid=abcnp_fb
0062.xml,abc,mainstream,mostly true,http://abcnews.go.com/US/terence-crutcher-shooting-tulsa-officer-betty-shelby/story?id=42304461&amp;cid=abcnp_fb
0063.xml,abc,mainstream,mostly true,http://abcnews.go.com/US/family-releases-video-keith-lamont-scott-shooting/story?id=42311545&amp;cid=abcnp_fb
0064.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/donald-trump-troll-mark-cuban-positioned-1st-presidential/story?id=42306391&amp;cid=abcnp_fb
0065.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/hillary-clinton-calls-charlotte-police-release-shooting-video/story?id=42313635&amp;cid=abcnp_fb
0066.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/aleppo-airstrikes-kill-12-members-family-observer-group/story?id=42305757&amp;cid=abcnp_fb
0067.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/early-voting-expected-rise-2016-person-balloting-begins/story?id=42306392&amp;cid=abcnp_fb
0068.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/anti-trump-super-pac-launches-pre-debate-video/story?id=42294508&amp;cid=abcnp_fb
0069.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/trump-clinton-differ-policing/story?id=42313997&amp;cid=abcnp_fb
0070.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/president-obama-vetoes-911-victims-bill-setting-showdown/story?id=42304768&amp;cid=abcnp_fb
0071.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/gary-johnson-hillary-clinton-donald-trump-debate-stage/story?id=42312697&amp;cid=abcnp_fb
0072.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/hillary-clinton-invited-presidential-debate/story?id=42360318&amp;cid=abcnp_fb
0073.xml,abc,mainstream,mostly true,http://abcnews.go.com/US/fbi-stats-show-uptick-violent-crime-year/story?id=42361219&amp;cid=abcnp_fb
0074.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/storylines-watch-tonights-presidential-debate/story?id=42306430&amp;cid=abcnp_fb
0075.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/aleppo-sees-unprecedented-day-airstrikes-condemns-violence/story?id=42358082&amp;cid=abcnp_fb
0076.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/voters-change-minds-tonights-debate/story?id=42366274&amp;cid=abcnp_fb
0077.xml,abc,mainstream,no factual content,http://abcnews.go.com/Entertainment/stars-comment-social-media-ahead-tonights-presidential-debate/story?id=42363694&amp;cid=abcnp_fb
0078.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/3rd-party-candidate-jill-stein-escorted-hofstra-police/story?id=42372259&amp;cid=abcnp_fb
0079.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/congress-expected-override-obama-911-bill-veto/story?id=42370350&amp;cid=abcnp_fb
0080.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/donald-trump-hillary-clinton-spar-taxes-presidential-debate/story?id=42379366&amp;cid=abcnp_fb
0081.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/presidential-debate-10-moments-mattered/story?id=42366107&amp;cid=abcnp_fb
0082.xml,abc,mainstream,no factual content,http://abcnews.go.com/Politics/analysis-hillary-clinton-baits-donald-trump-fight-counters/story?id=42362757&amp;cid=abcnp_fb
0083.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/hillary-clinton-slams-donald-trump-calling-women-pigs/story?id=42380925&amp;cid=abcnp_fb
0084.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/trump-miss-universe-machado-gained-massive-amount-weight/story?id=42387397
0085.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/donald-trump-perils-preparation/story?id=42387298&amp;cid=abcnp_fb
0086.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/hillary-clinton-deleted-33000-emails-secretary-state/story?id=42389308&amp;cid=abcnp_fb
0087.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/hillary-clinton-slams-donald-trump-questioning-debate-microphone/story?id=42392006&amp;cid=abcnp_fb
0088.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/donald-trump-surrogates-heap-blame-debate-moderator-lester/story?id=42390485&amp;cid=abcnp_fb
0089.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/joe-biden-slams-donald-trumps-comment-housing-crisis/story?id=42389382&amp;cid=abcnp_fb
0090.xml,abc,mainstream,mostly true,http://abcnews.go.com/US/young-girls-emotional-council-speech-laments-shame-fatal/story?id=42389939&amp;cid=abcnp_fb
0091.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/congress-override-president-obamas-veto-911-bill/story?id=42389384&amp;cid=abcnp_fb
0092.xml,abc,mainstream,mostly true,http://abcnews.go.com/International/texas-california-separatists-attend-pro-kremlin-conference/story?id=42395066&amp;cid=abcnp_fb
0093.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/trump-missed-opportunities-clinton-debate-republicans/story?id=42400514&amp;cid=abcnp_fb
0094.xml,abc,mainstream,mostly true,http://abcnews.go.com/Politics/president-obama-trump-preparation-temperament-values/story?id=42399292&amp;cid=abcnp_fb
0095.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/18/a-dallas-cop-just-filed-suit-against-obama-hillary-black-lives-matter-for-really-bizarre-conspiracy/
0096.xml,addicting-info,left,mixture of true and false,http://winningdemocrats.com/eric-trumps-greatest-achievement-of-all-time-is-currently-being-mocked-on-twitter-hard/
0097.xml,addicting-info,left,mixture of true and false,http://news.groopspeak.com/trump-has-meltdown-on-cnn-gets-called-out-for-saying-hillarys-a-bigot-cant-explain-why/
0098.xml,addicting-info,left,mostly true,http://news.groopspeak.com/mark-cuban-willing-to-bet-trumps-not-a-billionaire-heres-how-much-cash-he-really-has/
0099.xml,addicting-info,left,mostly true,http://www.ifyouonlynews.com/politics/jeb-bush-mocks-himself-and-republican-voters-in-surprisingly-hilarious-emmys-cameo-video/
0100.xml,addicting-info,left,mostly true,http://www.ifyouonlynews.com/humor/emmy-host-kimmel-calls-out-dude-who-made-trump-a-reality-tv-star-for-helping-destroy-america-video/
0101.xml,addicting-info,left,mostly true,http://author.addictinginfo.org/2016/09/19/dear-trump-isis-is-not-a-football-game/
0102.xml,addicting-info,left,mostly true,http://author.addictinginfo.org/2016/09/19/trump-retweets-article-that-destroyed-him-and-he-was-too-dumb-to-know-it/
0103.xml,addicting-info,left,mostly true,http://winningdemocrats.com/donald-trump-jr-just-pinned-a-tweet-so-stupid-it-will-make-your-eyes-bleed/
0104.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/19/montel-williams-destroys-pro-trump-pastor-in-insane-twitter-fight-tweets/
0105.xml,addicting-info,left,mixture of true and false,http://www.addictinginfo.org/2016/09/19/john-kasich-tells-gop-chair-reince-priebus-to-go-fck-himself/
0106.xml,addicting-info,left,mixture of true and false,http://www.addictinginfo.org/2016/09/19/michigan-republicans-strip-flint-of-their-power-to-sue-the-state-over-poisoned-water/
0107.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/19/chelsea-handler-gets-the-last-word-after-rnc-chair-attacks-hillary-for-not-smiling-video/
0108.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/19/watch-fox-news-gets-owned-by-police-chief-for-demonizing-immigrants-in-minnesota/
0109.xml,addicting-info,left,mostly false,http://www.addictinginfo.org/2016/09/19/proof-the-mainstream-media-is-manipulating-the-election-by-taking-bill-clinton-out-of-context/
0110.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/19/seth-macfarlane-just-told-johnson-and-stein-supporters-exactly-what-they-need-to-hear-tweet/
0111.xml,addicting-info,left,mixture of true and false,http://www.addictinginfo.org/2016/09/19/trump-just-blamed-bombings-on-freedom-of-the-press-video/
0112.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/19/deplorable-firefighter-fired-after-calling-for-bringing-back-slavery-in-support-of-trump/
0113.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/19/nras-ted-nugent-unleashes-disgusting-attack-on-pathetic-unarmed-mass-stabbing-victims-screenshots/
0114.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/19/trump-gets-annihilated-on-twitter-after-he-pretends-he-didnt-just-trash-police-officers-tweets/
0115.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/19/trump-is-crushing-an-intl-tradition-that-even-worldwide-hatred-of-george-w-couldnt-dent/
0116.xml,addicting-info,left,mostly false,http://www.addictinginfo.org/2016/09/19/trumps-latest-campaign-promise-may-be-his-most-horrible-one-yet/
0117.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/19/robert-reich-just-ruined-a-trump-supporters-week-with-facts/
0118.xml,addicting-info,left,mixture of true and false,http://news.groopspeak.com/trump-blames-freedom-of-the-press-for-latest-terrorist-attack-in-bizarre-rant-on-fox-news-video/
0119.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/20/inmate-dead-from-alleged-mistreatment-in-jail-run-by-infamous-pro-trump-sheriff/
0120.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/20/paul-ryans-new-economic-plan-is-just-gawd-awful-video/
0121.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/20/this-sickening-pro-gun-meme-is-quite-possibly-the-most-vile-thing-on-the-internet-image/
0122.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/20/how-trump-is-hiding-from-the-media-like-a-total-coward/
0123.xml,addicting-info,left,mixture of true and false,http://www.addictinginfo.org/2016/09/20/watch-donald-trump-says-constitution-should-not-give-everyone-the-right-to-due-process/
0124.xml,addicting-info,left,mixture of true and false,http://www.ifyouonlynews.com/politics/george-bush-sr-delivers-ultimate-taunt-to-trump-by-saying-he-will-vote-for-hillary/
0125.xml,addicting-info,left,mostly true,http://www.ifyouonlynews.com/politics/prosecutors-say-chris-christie-knew-about-bridgegate-as-it-happened/
0126.xml,addicting-info,left,mixture of true and false,http://www.addictinginfo.org/2016/09/20/george-h-w-bush-may-have-just-dealt-an-incredibly-stinging-blow-to-the-trump-train/
0127.xml,addicting-info,left,mixture of true and false,http://winningdemocrats.com/skittles-rep-told-trump-jr-to-shut-the-fck-up-after-he-compared-refugees-to-poison-candy-tweets/
0128.xml,addicting-info,left,mostly false,http://winningdemocrats.com/trump-just-made-a-campaign-promise-so-ridiculous-it-makes-read-my-lips-look-good/
0129.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/20/racist-whacko-threatens-construction-crew-with-gun-get-these-ns-off-the-road-video/
0130.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/20/trump-jr-once-again-shows-his-lack-of-humanity-with-disgusting-tweet-about-syrian-refugees/
0131.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/20/u2s-bono-has-brutal-words-for-donald-trump-video/
0132.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/20/hateful-arizona-pastor-deported-from-botswana-after-saying-gays-should-be-stoned-to-death-video/
0133.xml,addicting-info,left,mostly true,http://author.addictinginfo.org/2016/09/20/trump-jr-will-absolutely-hate-who-took-the-pic-of-that-skittles-bowl/
0134.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/20/trump-used-foundation-donations-to-pay-off-and-settle-private-lawsuits/
0135.xml,addicting-info,left,mixture of true and false,http://winningdemocrats.com/donald-trump-just-unleashed-a-disgusting-attack-on-our-troops-but-the-media-is-silent-video/
0136.xml,addicting-info,left,mostly true,http://winningdemocrats.com/twitter-just-wrecked-donald-trump-after-horrible-attack-on-black-communities-tweets/
0137.xml,addicting-info,left,mostly true,http://news.groopspeak.com/how-the-rest-of-the-world-sees-donald-trump-12-foreign-political-cartoons/
0138.xml,addicting-info,left,mixture of true and false,http://news.groopspeak.com/breaking-judge-over-trumps-fraud-case-makes-damaging-ruling-could-cost-trump-his-fortune/
0139.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/20/damning-new-evidence-shows-cop-who-murdered-unarmed-st-louis-man-likely-planted-gun/
0140.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/20/protests-erupt-in-charlotte-after-cops-kill-disabled-black-man-who-was-reading-a-book-in-his-car/
0141.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/21/trump-says-blacks-are-in-worse-shape-than-during-slavery-video/
0142.xml,addicting-info,left,mixture of true and false,http://www.addictinginfo.org/2016/09/21/trump-campaign-gives-pathetic-reason-why-george-h-w-bush-is-voting-for-hillary-video/
0143.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/21/racist-swarm-fox-news-in-response-to-protests-in-charlotte-and-their-comments-are-deplorable/
0144.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/21/facing-tough-re-election-sheriff-joe-says-hes-still-investigating-obamas-birth-certificate/
0145.xml,addicting-info,left,mostly true,http://author.addictinginfo.org/2016/09/21/foreign-diplomats-scared-shtless-over-the-idea-of-a-president-trump/
0146.xml,addicting-info,left,no factual content,http://www.addictinginfo.org/2016/09/21/watch-jimmy-kimmel-demonstrates-that-trump-could-support-child-rape-and-not-lose-any-votes/
0147.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/21/cnn-commentator-devastates-trump-supporter-who-thinks-using-the-n-word-is-great-video/
0148.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/21/avengers-director-launches-epic-celebrity-filled-superhero-effort-to-defeat-trump-video/
0149.xml,addicting-info,left,mixture of true and false,http://www.addictinginfo.org/2016/09/21/watch-trump-just-accidentally-admitted-he-still-believes-obama-was-born-in-kenya/
0150.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/21/stolen-valor-gop-senator-disgracefully-lies-makes-up-military-service/
0151.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/21/empire-takes-on-racist-police-violence-guns-in-america-in-breathtaking-new-song-video/
0152.xml,addicting-info,left,mostly false,http://news.groopspeak.com/fast-food-ceo-threatens-to-fire-everyone-if-a-democrat-wins-the-presidency/
0153.xml,addicting-info,left,mostly true,http://winningdemocrats.com/watch-cops-tackle-and-pepper-spray-a-handcuffed-biracial-girl-after-she-was-hit-by-a-car-video/
0154.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/21/trump-calls-for-this-racist-policy-to-be-forced-on-every-state/
0155.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/21/dixie-chicks-natalie-maines-unleashes-hilarious-twitter-tirade-against-trump-tweets/
0156.xml,addicting-info,left,mixture of true and false,http://www.ifyouonlynews.com/politics/backfire-republicans-create-show-trial-for-irs-head-so-dems-use-it-to-find-out-about-trumps-taxes/
0157.xml,addicting-info,left,mixture of true and false,http://www.ifyouonlynews.com/politics/trump-supporters-offer-outrageous-conspiracy-theories-to-daily-show-reporter-video/
0158.xml,addicting-info,left,mostly true,http://winningdemocrats.com/montel-williams-response-when-a-trump-fan-calls-him-a-n-is-perfect-screenshots/
0159.xml,addicting-info,left,mixture of true and false,http://www.addictinginfo.org/2016/09/22/trump-loses-support-of-police-union-after-saying-tulsa-shooting-cop-choked-video/
0160.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/22/black-protester-shuts-down-fox-reporter-on-live-tv-for-fing-fabricated-story-video/
0161.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/22/51-companies-are-pledging-over-650-million-in-refugee-support-white-house-announces/
0162.xml,addicting-info,left,mixture of true and false,http://author.addictinginfo.org/2016/09/22/hannity-gets-his-a-handed-to-him-for-falsely-claiming-terence-crutcher-has-violent-criminal-past/
0163.xml,addicting-info,left,mostly false,http://www.addictinginfo.org/2016/09/22/republicans-push-bill-to-legalize-voter-intimidation-to-help-trump-in-pennsylvania/
0164.xml,addicting-info,left,mostly true,http://author.addictinginfo.org/2016/09/22/trump-campaign-chair-says-racism-didnt-exist-before-obama-promptly-resigns/
0165.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/22/congressional-black-caucus-member-depicts-list-of-things-african-americans-can-be-killed-for/
0166.xml,addicting-info,left,mostly true,http://author.addictinginfo.org/2016/09/22/seahawks-richard-sherman-drops-the-mic-on-those-who-ignore-police-brutality-video/
0167.xml,addicting-info,left,no factual content,http://www.addictinginfo.org/2016/09/22/hillary-clintons-new-tax-plan-will-make-trumps-kids-furious/
0168.xml,addicting-info,left,mixture of true and false,http://www.addictinginfo.org/2016/09/22/trump-blames-charlotte-rioting-on-drug-use-without-any-proof/
0169.xml,addicting-info,left,mostly true,http://author.addictinginfo.org/2016/09/22/pence-says-there-is-too-much-talk-about-racism-in-policing-and-institutional-bias/
0170.xml,addicting-info,left,mixture of true and false,http://news.groopspeak.com/trump-campaign-chair-in-ohio-insists-racism-didnt-exist-before-obama-was-elected/
0171.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/23/hillary-literally-laughs-in-the-face-of-reporter-who-pushes-insane-health-conspiracies-video/
0172.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/23/good-news-folks-god-is-now-protecting-donald-trump-from-a-concentrated-satanic-attack-video/
0173.xml,addicting-info,left,mixture of true and false,http://www.ifyouonlynews.com/politics/who-saw-it-coming-trump-threatens-debate-moderators-with-retribution-if-they-fact-check-him/
0174.xml,addicting-info,left,mostly true,http://www.ifyouonlynews.com/politics/hannity-goes-rogue-secretly-films-gushing-trump-ad-and-fox-news-is-angry/
0175.xml,addicting-info,left,mostly true,http://winningdemocrats.com/the-cop-who-murdered-terence-crutcher-just-got-some-very-very-bad-news-video/
0176.xml,addicting-info,left,no factual content,http://winningdemocrats.com/racism-in-america-can-be-summed-up-with-this-one-incredibly-ignorant-tweet/
0177.xml,addicting-info,left,mostly true,http://www.addictinginfo.org/2016/09/23/trump-campaign-official-predicts-the-future-bow-down-to-president-trump-video/
